venue,tau_bin,gap_bin,n,b_mean,b_std,spread_med
okx,60,-15,153,0.03426797385620915,0.02256693451418985,0.055999999999999994
okx,60,-12.5,321,0.03149221183800623,0.0336457292297995,0.018000000000000002
okx,60,-10,719,0.04099582753824757,0.03235031928828185,0.054
okx,60,-7.5,761,0.05487976346911958,0.04396980495565924,0.060000000000000005
okx,60,-5,970,0.05916340206185567,0.0414742494216715,0.07
okx,60,-2.5,611,0.11419476268412437,0.06331822858297766,0.11000000000000001
okx,60,0,320,0.28104687500000003,0.13881244870316445,0.12
okx,60,2.5,277,0.7249061371841156,0.14555983330195923,0.14
okx,60,5,789,0.8919081115335868,0.06879681228676249,0.09999999999999998
okx,60,7.5,656,0.9285503048780488,0.04255343905584392,0.09599999999999997
okx,60,10,571,0.9621821366024518,0.031753741533744204,0.04800000000000004
okx,60,12.5,273,0.9547527472527472,0.035823662306187984,0.05300000000000005
okx,60,15,315,0.9723507936507937,0.01749945288513151,0.040000000000000036
okx,60,17.5,242,0.9624855371900826,0.038295812983064885,0.018500000000000016
okx,60,20,218,0.9658623853211009,0.03956452884429584,0.034999999999999976
okx,60,22.5,180,0.9730888888888889,0.016675774047980995,0.024500000000000022
okx,60,25,108,0.9850416666666667,0.011890490388635846,0.007000000000000006
okx,60,27.5,52,0.9630192307692307,0.02148162952943325,0.07849999999999996
okx,60,30,195,0.9705820512820512,0.02356480286178686,0.05700000000000005
okx,90,-27.5,199,0.0404070351758794,0.0175925446432291,0.049999999999999996
okx,90,-25,34,0.03408823529411765,0.02362089168647473,0.046
okx,90,-22.5,42,0.04220238095238095,0.02880465314794273,0.04700000000000001
okx,90,-20,97,0.04066494845360825,0.02141586270169222,0.054000000000000006
okx,90,-17.5,86,0.04296511627906977,0.015731532720972427,0.056999999999999995
okx,90,-15,199,0.05837437185929648,0.041734390978978894,0.06
okx,90,-12.5,360,0.05340555555555555,0.02534056547797272,0.06
okx,90,-10,719,0.05877816411682893,0.034714150405959376,0.06000000000000001
okx,90,-7.5,693,0.07068614718614719,0.036019703724172264,0.077
okx,90,-5,761,0.09087713534822602,0.05053903210384521,0.085
okx,90,-2.5,640,0.17439453124999998,0.08386968831427298,0.13000000000000003
okx,90,0,548,0.3763412408759124,0.10651697934321347,0.16000000000000003
okx,90,2.5,432,0.624988425925926,0.0960782615804877,0.15999999999999992
okx,90,5,634,0.8362594637223975,0.0679597393617687,0.13
okx,90,7.5,854,0.9093196721311475,0.03890605858346035,0.09699999999999998
okx,90,10,336,0.9308363095238096,0.029212653005050077,0.07999999999999996
okx,90,12.5,543,0.9400847145488029,0.028797457321988053,0.05999999999999994
okx,90,15,168,0.955407738095238,0.02663338591228222,0.040000000000000036
okx,90,17.5,125,0.972812,0.01761456325628533,0.010000000000000009
okx,90,20,175,0.9657114285714287,0.022685021786736207,0.029000000000000026
okx,90,22.5,164,0.970515243902439,0.018276709489295367,0.02200000000000002
okx,90,25,102,0.9721323529411765,0.02211893217914205,0.02200000000000002
okx,90,27.5,11,0.9630454545454544,0.00934198732993817,0.05700000000000005
okx,90,30,153,0.964313725490196,0.02097169790463079,0.040000000000000036
okx,120,-27.5,206,0.049327669902912624,0.021641156846761087,0.05
okx,120,-25,22,0.03327272727272727,0.007470142589203389,0.037000000000000005
okx,120,-22.5,14,0.062464285714285715,0.027691615147017866,0.06
okx,120,-20,50,0.046959999999999995,0.013383983727133087,0.04700000000000001
okx,120,-17.5,129,0.055046511627906976,0.01870060596658413,0.046000000000000006
okx,120,-15,160,0.061278124999999996,0.027153809911109706,0.046000000000000006
okx,120,-12.5,195,0.07512051282051282,0.026301916549343884,0.067
okx,120,-10,547,0.08233363802559415,0.03925300345617229,0.068
okx,120,-7.5,725,0.09052482758620689,0.05515647697052761,0.079
okx,120,-5,759,0.12681620553359685,0.06332108789645373,0.1
okx,120,-2.5,659,0.22860698027314114,0.07720758844906161,0.15
okx,120,0,423,0.38696217494089835,0.09466668134246528,0.15999999999999998
okx,120,2.5,526,0.606406844106464,0.09024104161169798,0.15999999999999998
okx,120,5,733,0.7869338335607095,0.0655364323335958,0.12
okx,120,7.5,663,0.8755542986425339,0.0491835692304761,0.08999999999999997
okx,120,10,379,0.9169023746701847,0.03585346012328005,0.08000000000000007
okx,120,12.5,474,0.917918776371308,0.03628135074704668,0.07899999999999996
okx,120,15,230,0.9291608695652174,0.02508140004189387,0.06699999999999995
okx,120,17.5,72,0.9314375,0.01874832152111629,0.04899999999999993
okx,120,20,155,0.9497354838709677,0.020572118131276785,0.039999999999999925
okx,120,22.5,61,0.9475655737704918,0.013495825098228142,0.05700000000000005
okx,120,25,29,0.9566379310344828,0.010123255186277876,0.049000000000000044
okx,120,27.5,42,0.9481904761904761,0.021629347830496186,0.039000000000000035
okx,120,30,101,0.9413267326732673,0.02436446548188206,0.05700000000000005
okx,180,-27.5,237,0.0624113924050633,0.029284449454149795,0.03899999999999999
okx,180,-25,69,0.07833333333333334,0.028487183220584262,0.06
okx,180,-22.5,136,0.07590073529411764,0.03514424350170579,0.039999999999999994
okx,180,-20,101,0.07472277227722773,0.02941704227548419,0.039999999999999994
okx,180,-17.5,104,0.09499038461538462,0.02368697368134503,0.06999999999999999
okx,180,-15,148,0.07130405405405406,0.037217033768161316,0.03899999999999999
okx,180,-12.5,507,0.08863313609467455,0.03253496942979427,0.06
okx,180,-10,840,0.09268869047619048,0.03407880761117781,0.06999999999999999
okx,180,-7.5,1100,0.12032000000000001,0.05046903626456591,0.08
okx,180,-5,1153,0.19007805724197746,0.07530306807494755,0.12
okx,180,-2.5,1378,0.2783174891146589,0.08034365344947617,0.15
okx,180,0,1227,0.424519152404238,0.0720992399943569,0.14999999999999997
okx,180,2.5,1230,0.5830975609756098,0.0776783665843844,0.1499999999999999
okx,180,5,1430,0.7305202797202798,0.0757124727159553,0.14
okx,180,7.5,910,0.8330324175824175,0.06977460012448443,0.09000000000000008
