ts_ms,window_start_ms,tau_s,direction,best_ev,ev_a,ev_b,raw_edge_a,raw_edge_b,p_band,pm_is_low_target,up_ask,down_ask,up_ask_okx,down_ask_okx,target_px,target_px_okx,gap_bps,gap_bps_okx,book_age_ms,book_age_ms_okx
1787847962124,1787847900000,237.876,okxUP+pmDOWN,0.04728299999999985,-0.25159699999999985,0.04728299999999985,-0.25159699999999985,0.04728299999999985,0.0,false,0.48,0.53,0.4,0.75,80495.12183254676,80490.1,0.4828862513334977,-2.7581031704534644,0,93
1787847962502,1787847900000,237.49800000000002,okxUP+pmDOWN,0.057247999999999855,-0.2616179999999999,0.057247999999999855,-0.2616179999999999,0.057247999999999855,0.0,false,0.49,0.52,0.4,0.75,80495.12183254676,80490.1,0.4828862513334977,-2.7581031704534644,4,93
1787847963000,1787847900000,237.0,okxUP+pmDOWN,0.0371688,-0.2517258,0.0371688,-0.2517258,0.0371688,0.0,false,0.49,0.52,0.42,0.74,80495.12183254676,80490.1,-0.0931135002007738,-2.7332553941416395,1,92
1787847963500,1787847900000,236.5,okxUP+pmDOWN,0.0272038,-0.24170479999999994,0.0272038,-0.24170479999999994,0.0272038,0.0,false,0.48,0.53,0.42,0.74,80495.12183254676,80490.1,-0.0931135002007738,-2.7332553941416395,0,92
1787847973001,1787847900000,226.999,okxUP+pmDOWN,0.03706200000000004,-0.24209199999999997,0.03706200000000004,-0.24209199999999997,0.03706200000000004,0.0,false,0.52,0.49,0.45,0.7,80495.12183254676,80490.1,2.0938635175347886,-1.2051171510548055,27,93
1787847973500,1787847900000,226.5,okxUP+pmDOWN,0.03707920000000009,-0.21228019999999992,0.03707920000000009,-0.21228019999999992,0.03707920000000009,0.0,false,0.51,0.5,0.44,0.68,80495.12183254676,80490.1,2.0938635175347886,-1.7020726772623767,3,94
1787847974001,1787847900000,225.999,okxUP+pmDOWN,0.04708620000000008,-0.2222592000000001,0.04708620000000008,-0.2222592000000001,0.04708620000000008,0.0,false,0.52,0.49,0.44,0.68,80495.12183254676,80490.1,2.0938635175347886,-1.7020726772623767,3,94
1787847975000,1787847900000,225.0,okxUP+pmDOWN,0.017112000000000016,-0.1726049999999999,0.017112000000000016,-0.1726049999999999,0.017112000000000016,0.0,false,0.55,0.46,0.5,0.6,80495.12183254676,80490.1,0.5746189227479468,-1.3790515852267322,0,93
1787847976500,1787847900000,223.5,okxUP+pmDOWN,0.0071141999999999594,-0.21239380000000008,0.0071141999999999594,-0.21239380000000008,0.0071141999999999594,0.0,false,0.55,0.46,0.51,0.64,80495.12183254676,80490.1,-0.8623801288859682,-1.3417799207608028,665,94
1787847977000,1787847900000,223.0,okxUP+pmDOWN,0.0071141999999999594,-0.21239380000000008,0.0071141999999999594,-0.21239380000000008,0.0071141999999999594,0.0,false,0.55,0.46,0.51,0.64,80495.12183254676,80490.1,-0.9370317648876022,-1.4660188023126954,1165,594
1787847977500,1787847900000,222.5,okxUP+pmDOWN,0.0071141999999999594,-0.21239380000000008,0.0071141999999999594,-0.21239380000000008,0.0071141999999999594,0.0,false,0.55,0.46,0.51,0.64,80495.12183254676,80490.1,-0.9370317648876022,-1.4660188023126954,1665,594
1787847981500,1787847900000,218.5,okxUP+pmDOWN,0.017036799999999963,-0.2223012000000002,0.017036799999999963,-0.2223012000000002,0.017036799999999963,0.0,false,0.53,0.48,0.48,0.67,80495.12183254676,80490.1,-0.5816108581111623,-1.2299649273648225,33,94
1787847982000,1787847900000,218.0,okxUP+pmDOWN,0.017036799999999963,-0.24214279999999988,0.017036799999999963,-0.24214279999999988,0.017036799999999963,0.0,false,0.53,0.48,0.48,0.69,80495.12183254676,80490.1,-0.5816108581111623,-1.3790515852267322,0,194
1787847982500,1787847900000,217.5,okxUP+pmDOWN,0.017036799999999963,-0.2223012000000002,0.017036799999999963,-0.2223012000000002,0.017036799999999963,0.0,false,0.53,0.48,0.48,0.67,80495.12183254676,80490.1,-0.7011932520477167,-1.4908665786227124,7,90
1787847984500,1787847900000,215.5,okxUP+pmDOWN,0.0272038,-0.2318081999999999,0.0272038,-0.2318081999999999,0.0272038,0.0,false,0.48,0.53,0.42,0.73,80495.12183254676,80490.1,-1.0280215801127082,-2.211452091624052,7,92
1787847985000,1787847900000,215.0,okxUP+pmDOWN,0.017252800000000068,-0.2217731999999999,0.017252800000000068,-0.2217731999999999,0.017252800000000068,0.0,false,0.47,0.54,0.42,0.73,80495.12183254676,80490.1,-1.0280215801127082,-2.211452091624052,6,92
