venue,b_bucket,n,b_mean,realized_up_rate
polymarket,0.8500000000000001,282,0.8745921985815601,0.9113475177304965
polymarket,0.9,309,0.9271197411003231,0.8155339805825242
polymarket,0.9500000000000001,461,0.9732104121475067,0.9783080260303688
polymarket_eth,0.0,388,0.02695360824742265,0.07731958762886598
polymarket_eth,0.05,187,0.06986631016042781,0.016042780748663103
polymarket_eth,0.1,198,0.12449494949494944,0.04040404040404041
polymarket_eth,0.15000000000000002,263,0.1725285171102661,0.10266159695817491
polymarket_eth,0.2,208,0.22455048076923045,0.25961538461538464
polymarket_eth,0.25,307,0.274055374592834,0.254071661237785
polymarket_eth,0.30000000000000004,281,0.3222419928825622,0.4199288256227758
polymarket_eth,0.35000000000000003,249,0.37447791164658634,0.3293172690763052
polymarket_eth,0.4,290,0.42489655172413804,0.603448275862069
polymarket_eth,0.45,279,0.47034050179211456,0.7777777777777778
polymarket_eth,0.5,197,0.5235532994923858,0.6649746192893401
polymarket_eth,0.55,153,0.5730392156862746,0.8627450980392157
polymarket_eth,0.6000000000000001,162,0.6240740740740741,0.9567901234567902
polymarket_eth,0.65,251,0.6777490039840631,0.9840637450199203
polymarket_eth,0.7000000000000001,345,0.7254637681159423,0.9681159420289855
polymarket_eth,0.75,386,0.7744041450777204,0.9766839378238342
polymarket_eth,0.8,308,0.8215584415584409,0.9837662337662337
polymarket_eth,0.8500000000000001,412,0.8737985436893202,1.0
polymarket_eth,0.9,220,0.9238636363636361,1.0
polymarket_eth,0.9500000000000001,349,0.9705873925501439,1.0
